"가입일자","사용자코드","연령대","성별","가입건수"
"2023-12-01","회원-내국인","10대","F","25"
"2023-12-01","회원-내국인","10대","F","14"
"2023-12-01","회원-내국인","10대","M","47"
"2023-12-01","회원-내국인","10대","M","15"
"2023-12-01","회원-내국인","20대","F","40"
"2023-12-01","회원-내국인","20대","F","12"
"2023-12-01","회원-내국인","20대","M","40"
"2023-12-01","회원-내국인","20대","M","14"
"2023-12-01","회원-내국인","30대","F","24"
"2023-12-01","회원-내국인","30대","F","6"
"2023-12-01","회원-내국인","30대","M","41"
"2023-12-01","회원-내국인","30대","M","8"
"2023-12-01","회원-내국인","40대","F","7"
"2023-12-01","회원-내국인","40대","F","2"
"2023-12-01","회원-내국인","40대","M","23"
"2023-12-01","회원-내국인","40대","M","14"
"2023-12-01","회원-내국인","50대","F","8"
"2023-12-01","회원-내국인","50대","F","1"
"2023-12-01","회원-내국인","50대","M","12"
"2023-12-01","회원-내국인","50대","M","8"
"2023-12-01","회원-내국인","60대","F","3"
"2023-12-01","회원-내국인","60대","M","3"
"2023-12-01","회원-내국인","60대","M","6"
"2023-12-01","회원-내국인","70대이상","M","1"
"2023-12-01","회원-내국인","기타","M","1"
"2023-12-02","회원-내국인","10대","F","28"
"2023-12-02","회원-내국인","10대","F","12"
"2023-12-02","회원-내국인","10대","M","77"
"2023-12-02","회원-내국인","10대","M","30"
"2023-12-02","회원-내국인","20대","F","56"
"2023-12-02","회원-내국인","20대","F","20"
"2023-12-02","회원-내국인","20대","M","78"
"2023-12-02","회원-내국인","20대","M","18"
"2023-12-02","회원-내국인","30대","F","36"
"2023-12-02","회원-내국인","30대","F","9"
"2023-12-02","회원-내국인","30대","M","41"
"2023-12-02","회원-내국인","30대","M","12"
"2023-12-02","회원-내국인","40대","F","13"
"2023-12-02","회원-내국인","40대","F","10"
"2023-12-02","회원-내국인","40대","M","37"
"2023-12-02","회원-내국인","40대","M","12"
"2023-12-02","회원-내국인","50대","F","11"
"2023-12-02","회원-내국인","50대","F","2"
"2023-12-02","회원-내국인","50대","M","26"
"2023-12-02","회원-내국인","50대","M","12"
"2023-12-02","회원-내국인","60대","F","6"
"2023-12-02","회원-내국인","60대","M","13"
"2023-12-02","회원-내국인","60대","M","3"
"2023-12-02","회원-내국인","70대이상","F","1"
"2023-12-02","회원-내국인","70대이상","M","2"
"2023-12-03","회원-내국인","10대","F","37"
"2023-12-03","회원-내국인","10대","F","9"
"2023-12-03","회원-내국인","10대","M","68"
"2023-12-03","회원-내국인","10대","M","20"
"2023-12-03","회원-내국인","20대","F","56"
"2023-12-03","회원-내국인","20대","F","16"
"2023-12-03","회원-내국인","20대","M","80"
"2023-12-03","회원-내국인","20대","M","15"
"2023-12-03","회원-내국인","30대","F","36"
"2023-12-03","회원-내국인","30대","F","13"
"2023-12-03","회원-내국인","30대","M","47"
"2023-12-03","회원-내국인","30대","M","12"
"2023-12-03","회원-내국인","40대","F","41"
"2023-12-03","회원-내국인","40대","F","5"
"2023-12-03","회원-내국인","40대","M","47"
"2023-12-03","회원-내국인","40대","M","11"
"2023-12-03","회원-내국인","50대","F","14"
"2023-12-03","회원-내국인","50대","F","4"
"2023-12-03","회원-내국인","50대","M","25"
"2023-12-03","회원-내국인","50대","M","10"
"2023-12-03","회원-내국인","60대","F","4"
"2023-12-03","회원-내국인","60대","M","10"
"2023-12-03","회원-내국인","60대","M","3"
"2023-12-03","회원-내국인","70대이상","F","2"
"2023-12-03","회원-내국인","70대이상","F","1"
"2023-12-03","회원-내국인","70대이상","M","3"
"2023-12-04","회원-내국인","10대","F","17"
"2023-12-04","회원-내국인","10대","F","9"
"2023-12-04","회원-내국인","10대","M","55"
"2023-12-04","회원-내국인","10대","M","30"
"2023-12-04","회원-내국인","20대","F","56"
"2023-12-04","회원-내국인","20대","F","20"
"2023-12-04","회원-내국인","20대","M","50"
"2023-12-04","회원-내국인","20대","M","17"
"2023-12-04","회원-내국인","30대","F","32"
"2023-12-04","회원-내국인","30대","F","5"
"2023-12-04","회원-내국인","30대","M","51"
"2023-12-04","회원-내국인","30대","M","10"
"2023-12-04","회원-내국인","40대","F","24"
"2023-12-04","회원-내국인","40대","F","5"
"2023-12-04","회원-내국인","40대","M","37"
"2023-12-04","회원-내국인","40대","M","13"
"2023-12-04","회원-내국인","50대","F","13"
"2023-12-04","회원-내국인","50대","F","1"
"2023-12-04","회원-내국인","50대","M","20"
"2023-12-04","회원-내국인","50대","M","9"
"2023-12-04","회원-내국인","60대","F","3"
"2023-12-04","회원-내국인","60대","F","1"
"2023-12-04","회원-내국인","60대","M","7"
"2023-12-04","회원-내국인","60대","M","3"
"2023-12-04","회원-내국인","70대이상","M","3"
"2023-12-04","회원-내국인","70대이상","M","1"
"2023-12-05","회원-내국인","10대","F","42"
"2023-12-05","회원-내국인","10대","F","9"
"2023-12-05","회원-내국인","10대","M","70"
"2023-12-05","회원-내국인","10대","M","17"
"2023-12-05","회원-내국인","20대","F","55"
"2023-12-05","회원-내국인","20대","F","31"
"2023-12-05","회원-내국인","20대","M","83"
"2023-12-05","회원-내국인","20대","M","16"
"2023-12-05","회원-내국인","30대","F","42"
"2023-12-05","회원-내국인","30대","F","15"
"2023-12-05","회원-내국인","30대","M","43"
"2023-12-05","회원-내국인","30대","M","19"
"2023-12-05","회원-내국인","40대","F","22"
"2023-12-05","회원-내국인","40대","F","9"
"2023-12-05","회원-내국인","40대","M","39"
"2023-12-05","회원-내국인","40대","M","14"
"2023-12-05","회원-내국인","50대","F","14"
"2023-12-05","회원-내국인","50대","F","1"
"2023-12-05","회원-내국인","50대","M","27"
"2023-12-05","회원-내국인","50대","M","16"
"2023-12-05","회원-내국인","60대","F","5"
"2023-12-05","회원-내국인","60대","F","3"
"2023-12-05","회원-내국인","60대","M","9"
"2023-12-05","회원-내국인","60대","M","4"
"2023-12-05","회원-내국인","70대이상","F","1"
"2023-12-05","회원-내국인","70대이상","M","4"
"2023-12-05","회원-내국인","기타","F","1"
"2023-12-05","회원-내국인","기타","M","1"
"2023-12-06","회원-내국인","10대","F","24"
"2023-12-06","회원-내국인","10대","F","10"
"2023-12-06","회원-내국인","10대","M","42"
"2023-12-06","회원-내국인","10대","M","18"
"2023-12-06","회원-내국인","20대","F","32"
"2023-12-06","회원-내국인","20대","F","12"
"2023-12-06","회원-내국인","20대","M","48"
"2023-12-06","회원-내국인","20대","M","16"
"2023-12-06","회원-내국인","30대","F","28"
"2023-12-06","회원-내국인","30대","F","10"
"2023-12-06","회원-내국인","30대","M","35"
"2023-12-06","회원-내국인","30대","M","12"
"2023-12-06","회원-내국인","40대","F","20"
"2023-12-06","회원-내국인","40대","F","8"
"2023-12-06","회원-내국인","40대","M","36"
"2023-12-06","회원-내국인","40대","M","16"
"2023-12-06","회원-내국인","50대","F","5"
"2023-12-06","회원-내국인","50대","F","3"
"2023-12-06","회원-내국인","50대","M","27"
"2023-12-06","회원-내국인","50대","M","8"
"2023-12-06","회원-내국인","60대","F","1"
"2023-12-06","회원-내국인","60대","M","9"
"2023-12-06","회원-내국인","60대","M","6"
"2023-12-06","회원-내국인","70대이상","M","1"
"2023-12-07","회원-내국인","10대","F","29"
"2023-12-07","회원-내국인","10대","F","11"
"2023-12-07","회원-내국인","10대","M","69"
"2023-12-07","회원-내국인","10대","M","14"
"2023-12-07","회원-내국인","20대","F","54"
"2023-12-07","회원-내국인","20대","F","18"
"2023-12-07","회원-내국인","20대","M","77"
"2023-12-07","회원-내국인","20대","M","15"
"2023-12-07","회원-내국인","30대","F","24"
"2023-12-07","회원-내국인","30대","F","13"
"2023-12-07","회원-내국인","30대","M","71"
"2023-12-07","회원-내국인","30대","M","10"
"2023-12-07","회원-내국인","40대","F","26"
"2023-12-07","회원-내국인","40대","F","8"
"2023-12-07","회원-내국인","40대","M","58"
"2023-12-07","회원-내국인","40대","M","14"
"2023-12-07","회원-내국인","50대","F","8"
"2023-12-07","회원-내국인","50대","F","2"
"2023-12-07","회원-내국인","50대","M","30"
"2023-12-07","회원-내국인","50대","M","16"
"2023-12-07","회원-내국인","60대","F","3"
"2023-12-07","회원-내국인","60대","M","11"
"2023-12-07","회원-내국인","60대","M","2"
"2023-12-07","회원-내국인","70대이상","F","2"
"2023-12-07","회원-내국인","70대이상","M","1"
"2023-12-08","회원-내국인","10대","F","52"
"2023-12-08","회원-내국인","10대","F","7"
"2023-12-08","회원-내국인","10대","M","84"
"2023-12-08","회원-내국인","10대","M","16"
"2023-12-08","회원-내국인","20대","F","91"
"2023-12-08","회원-내국인","20대","F","17"
"2023-12-08","회원-내국인","20대","M","110"
"2023-12-08","회원-내국인","20대","M","23"
"2023-12-08","회원-내국인","30대","F","41"
"2023-12-08","회원-내국인","30대","F","13"
"2023-12-08","회원-내국인","30대","M","75"
"2023-12-08","회원-내국인","30대","M","21"
"2023-12-08","회원-내국인","40대","F","21"
"2023-12-08","회원-내국인","40대","F","10"
"2023-12-08","회원-내국인","40대","M","63"
"2023-12-08","회원-내국인","40대","M","18"
"2023-12-08","회원-내국인","50대","F","24"
"2023-12-08","회원-내국인","50대","F","6"
"2023-12-08","회원-내국인","50대","M","34"
"2023-12-08","회원-내국인","50대","M","4"
"2023-12-08","회원-내국인","60대","F","1"
"2023-12-08","회원-내국인","60대","M","12"
"2023-12-08","회원-내국인","60대","M","7"
"2023-12-08","회원-내국인","70대이상","M","3"
"2023-12-09","회원-내국인","10대","F","91"
"2023-12-09","회원-내국인","10대","F","14"
"2023-12-09","회원-내국인","10대","M","159"
"2023-12-09","회원-내국인","10대","M","15"
"2023-12-09","회원-내국인","20대","F","144"
"2023-12-09","회원-내국인","20대","F","30"
"2023-12-09","회원-내국인","20대","M","200"
"2023-12-09","회원-내국인","20대","M","35"
"2023-12-09","회원-내국인","30대","F","70"
"2023-12-09","회원-내국인","30대","F","18"
"2023-12-09","회원-내국인","30대","M","103"
"2023-12-09","회원-내국인","30대","M","22"
"2023-12-09","회원-내국인","40대","F","62"
"2023-12-09","회원-내국인","40대","F","13"
"2023-12-09","회원-내국인","40대","M","99"
"2023-12-09","회원-내국인","40대","M","20"
"2023-12-09","회원-내국인","50대","F","23"
"2023-12-09","회원-내국인","50대","F","10"
"2023-12-09","회원-내국인","50대","M","42"
"2023-12-09","회원-내국인","50대","M","12"
"2023-12-09","회원-내국인","60대","F","9"
"2023-12-09","회원-내국인","60대","F","2"
"2023-12-09","회원-내국인","60대","M","19"
"2023-12-09","회원-내국인","60대","M","4"
"2023-12-09","회원-내국인","70대이상","F","3"
"2023-12-09","회원-내국인","70대이상","M","1"
"2023-12-09","회원-내국인","기타","F","1"
"2023-12-09","회원-내국인","기타","M","1"
"2023-12-10","회원-내국인","10대","F","92"
"2023-12-10","회원-내국인","10대","F","11"
"2023-12-10","회원-내국인","10대","M","127"
"2023-12-10","회원-내국인","10대","M","26"
"2023-12-10","회원-내국인","20대","F","133"
"2023-12-10","회원-내국인","20대","F","30"
"2023-12-10","회원-내국인","20대","M","177"
"2023-12-10","회원-내국인","20대","M","34"
"2023-12-10","회원-내국인","30대","F","88"
"2023-12-10","회원-내국인","30대","F","13"
"2023-12-10","회원-내국인","30대","M","120"
"2023-12-10","회원-내국인","30대","M","24"
"2023-12-10","회원-내국인","40대","F","66"
"2023-12-10","회원-내국인","40대","F","6"
"2023-12-10","회원-내국인","40대","M","78"
"2023-12-10","회원-내국인","40대","M","16"
"2023-12-10","회원-내국인","50대","F","35"
"2023-12-10","회원-내국인","50대","F","7"
"2023-12-10","회원-내국인","50대","M","39"
"2023-12-10","회원-내국인","50대","M","17"
"2023-12-10","회원-내국인","60대","F","4"
"2023-12-10","회원-내국인","60대","F","2"
"2023-12-10","회원-내국인","60대","M","17"
"2023-12-10","회원-내국인","60대","M","4"
"2023-12-10","회원-내국인","70대이상","F","2"
"2023-12-10","회원-내국인","70대이상","M","2"
"2023-12-10","회원-내국인","70대이상","M","1"
"2023-12-11","회원-내국인","10대","F","18"
"2023-12-11","회원-내국인","10대","F","8"
"2023-12-11","회원-내국인","10대","M","26"
"2023-12-11","회원-내국인","10대","M","9"
"2023-12-11","회원-내국인","20대","F","22"
"2023-12-11","회원-내국인","20대","F","13"
"2023-12-11","회원-내국인","20대","M","29"
"2023-12-11","회원-내국인","20대","M","14"
"2023-12-11","회원-내국인","30대","F","19"
"2023-12-11","회원-내국인","30대","F","8"
"2023-12-11","회원-내국인","30대","M","17"
"2023-12-11","회원-내국인","30대","M","5"
"2023-12-11","회원-내국인","40대","F","18"
"2023-12-11","회원-내국인","40대","F","4"
"2023-12-11","회원-내국인","40대","M","20"
"2023-12-11","회원-내국인","40대","M","18"
"2023-12-11","회원-내국인","50대","F","8"
"2023-12-11","회원-내국인","50대","F","3"
"2023-12-11","회원-내국인","50대","M","14"
"2023-12-11","회원-내국인","50대","M","11"
"2023-12-11","회원-내국인","60대","M","13"
"2023-12-11","회원-내국인","60대","M","2"
"2023-12-11","회원-내국인","70대이상","M","1"
"2023-12-12","회원-내국인","10대","F","48"
"2023-12-12","회원-내국인","10대","F","11"
"2023-12-12","회원-내국인","10대","M","72"
"2023-12-12","회원-내국인","10대","M","11"
"2023-12-12","회원-내국인","20대","F","63"
"2023-12-12","회원-내국인","20대","F","7"
"2023-12-12","회원-내국인","20대","M","56"
"2023-12-12","회원-내국인","20대","M","11"
"2023-12-12","회원-내국인","30대","F","38"
"2023-12-12","회원-내국인","30대","F","8"
"2023-12-12","회원-내국인","30대","M","50"
"2023-12-12","회원-내국인","30대","M","10"
"2023-12-12","회원-내국인","40대","F","27"
"2023-12-12","회원-내국인","40대","F","2"
"2023-12-12","회원-내국인","40대","M","35"
"2023-12-12","회원-내국인","40대","M","14"
"2023-12-12","회원-내국인","50대","F","11"
"2023-12-12","회원-내국인","50대","F","1"
"2023-12-12","회원-내국인","50대","M","21"
"2023-12-12","회원-내국인","50대","M","8"
"2023-12-12","회원-내국인","60대","F","2"
"2023-12-12","회원-내국인","60대","M","7"
"2023-12-12","회원-내국인","60대","M","2"
"2023-12-12","회원-내국인","70대이상","F","2"
"2023-12-12","회원-내국인","70대이상","M","1"
"2023-12-13","회원-내국인","10대","F","61"
"2023-12-13","회원-내국인","10대","F","11"
"2023-12-13","회원-내국인","10대","M","100"
"2023-12-13","회원-내국인","10대","M","19"
"2023-12-13","회원-내국인","20대","F","63"
"2023-12-13","회원-내국인","20대","F","20"
"2023-12-13","회원-내국인","20대","M","88"
"2023-12-13","회원-내국인","20대","M","15"
"2023-12-13","회원-내국인","30대","F","29"
"2023-12-13","회원-내국인","30대","F","8"
"2023-12-13","회원-내국인","30대","M","53"
"2023-12-13","회원-내국인","30대","M","14"
"2023-12-13","회원-내국인","40대","F","26"
"2023-12-13","회원-내국인","40대","F","9"
"2023-12-13","회원-내국인","40대","M","28"
"2023-12-13","회원-내국인","40대","M","16"
"2023-12-13","회원-내국인","50대","F","12"
"2023-12-13","회원-내국인","50대","F","2"
"2023-12-13","회원-내국인","50대","M","26"
"2023-12-13","회원-내국인","50대","M","14"
"2023-12-13","회원-내국인","60대","F","5"
"2023-12-13","회원-내국인","60대","M","7"
"2023-12-13","회원-내국인","60대","M","3"
"2023-12-14","회원-내국인","10대","F","11"
"2023-12-14","회원-내국인","10대","F","12"
"2023-12-14","회원-내국인","10대","M","16"
"2023-12-14","회원-내국인","10대","M","14"
"2023-12-14","회원-내국인","20대","F","15"
"2023-12-14","회원-내국인","20대","F","8"
"2023-12-14","회원-내국인","20대","M","35"
"2023-12-14","회원-내국인","20대","M","7"
"2023-12-14","회원-내국인","30대","F","19"
"2023-12-14","회원-내국인","30대","F","6"
"2023-12-14","회원-내국인","30대","M","27"
"2023-12-14","회원-내국인","30대","M","8"
"2023-12-14","회원-내국인","40대","F","12"
"2023-12-14","회원-내국인","40대","F","8"
"2023-12-14","회원-내국인","40대","M","24"
"2023-12-14","회원-내국인","40대","M","10"
"2023-12-14","회원-내국인","50대","F","9"
"2023-12-14","회원-내국인","50대","F","1"
"2023-12-14","회원-내국인","50대","M","14"
"2023-12-14","회원-내국인","50대","M","7"
"2023-12-14","회원-내국인","60대","F","3"
"2023-12-14","회원-내국인","60대","M","10"
"2023-12-14","회원-내국인","60대","M","2"
"2023-12-14","회원-내국인","70대이상","M","1"
"2023-12-14","회원-내국인","기타","M","1"
"2023-12-15","회원-내국인","10대","F","19"
"2023-12-15","회원-내국인","10대","F","7"
"2023-12-15","회원-내국인","10대","M","28"
"2023-12-15","회원-내국인","10대","M","8"
"2023-12-15","회원-내국인","20대","F","16"
"2023-12-15","회원-내국인","20대","F","6"
"2023-12-15","회원-내국인","20대","M","34"
"2023-12-15","회원-내국인","20대","M","3"
"2023-12-15","회원-내국인","30대","F","12"
"2023-12-15","회원-내국인","30대","F","1"
"2023-12-15","회원-내국인","30대","M","25"
"2023-12-15","회원-내국인","30대","M","4"
"2023-12-15","회원-내국인","40대","F","10"
"2023-12-15","회원-내국인","40대","F","5"
"2023-12-15","회원-내국인","40대","M","20"
"2023-12-15","회원-내국인","40대","M","7"
"2023-12-15","회원-내국인","50대","F","7"
"2023-12-15","회원-내국인","50대","F","2"
"2023-12-15","회원-내국인","50대","M","20"
"2023-12-15","회원-내국인","50대","M","13"
"2023-12-15","회원-내국인","60대","F","1"
"2023-12-15","회원-내국인","60대","F","2"
"2023-12-15","회원-내국인","60대","M","8"
"2023-12-15","회원-내국인","60대","M","4"
"2023-12-15","회원-내국인","70대이상","M","2"
